afghanistan,botswana,chile,china,cuba,egypt,germany,haiti,india,iran,iraq,israel,japan,libya,mexico,norway,philippines,poland,russia,singapore,syria,ukraine,united states,vietnam
"""Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan.""â€”VP Joe Biden",The First Lady landed in Botswana today and was greeted with a special dance performance. Watch here:http://youtu.be/GPUnhq1h3NUÂ ,"Speaking live from Santiago, Chile. Watch at 3:20pm ET. http://wh.gov/live","""If we don't write the rules for trade around the world, guess what: China will."" â€”President Obama #LeadOnTrade","These three Marines lowered the American flag in #Cuba in 1961. Today, they raised it again:http://ofa.bo/q97HÂ ","Today belongs to the people of Egypt, who have made it clear that nothing less than genuine democracy will carry the day. http://OFA.BO/uu4L","President Obama: I don't want the next big job-creating discovery to come from Germany, China or Japan. I want it to be made in America.",Presidents Clinton and Bush have issued a call to actionâ€”Join the relief efforts of the Clinton Bush Haiti Fund: http://bit.ly/5-x,"FACT: As governor, Romney signed a $160,000/month contract that used taxpayer money for a consumer call center in India.","""This vote is a victory for diplomacy ... and for the safety and security of the world."" â€”President Obama on the #IranDeal vote","â€œMore than a decade later, we still live with the consequences of the decision to invade Iraq.â€ â€”President Obama #IranDeal","Haaretz: ""Obama is good for Israel.""http://OFA.BO/V8smbDÂ ","President Obama: I don't want the next big job-creating discovery to come from Germany, China or Japan. I want it to be made in America.",#RomneyExposed RT @politicalwire: That exchange on Libya was Romney's Gerald Ford moment. He was lost and not presidential at all.,"FACT: Romneyâ€™s firm invested in a Denver-based electronics manufacturer that laid off more than 1,500 workers and sent jobs to Mexico.",â€œI wanted to personally extend my condolences to the people of Norway.â€ â€“ President Obama http://OFA.BO/K2ZTk8Â ,"""Our thoughts and prayers continue to be with the people of the Philippines."" â€”President Obama. Here's how to help: http://OFA.BO/RdHFyXÂ ","We join the people of Poland in mourning the passing of Polish President Kaczynski, and all those killed in today's tragic plane crash.","POTUS on Romney: ""A few months ago, when you were asked whatâ€™s the biggest geopolitical threat facing America, you said Russia.""","In Singapore, continuing the visit to Asia. Watch trip updates by staff on the @WhiteHouse blog: http://bit.ly/3s4PCD http://bit.ly/16W8YM",Watch live: President Obama addresses the nation on Syria. http://OFA.BO/zdcX6zÂ ,Happening now: President Obama delivers a statement on the situation in Ukraine. http://ofa.bo/c0GMÂ ,"""The number one reason Iâ€™m optimistic going into 2016: It's youâ€”the American people."" â€”President Obamahttp://ofa.bo/g9WfÂ ",A former Republican senator and Vietnam veteran endorses President Obama for a second term as commander-in-chief: http://OFA.BO/bEZHZeÂ 
FACT: Almost twice as many people were murdered by guns from 2001-2010 in Arizona than killed in combat in Afghanistan. #DemandAction,,The American people send their deepest condolences to the Chilean people. The U.S. is ready to help in any way.,#ClimateChangeIsReal. So is the historic agreement between the U.S. and China last fall to cut carbon pollution.,Happening now: President Obama delivers a statement on Cuba. http://ofa.bo/h212Â ,Delivering a statement on Egypt. Watch live at 3pm ET on http://wh.gov/live.,â€œIâ€™m not gonna cede the wind or solar or battery industry to China or Germany.â€â€”the President on his commitment to American clean energy,"Pres. Preval of #Haiti, by phone, to you: ""From the bottom of my heart & on behalf of the Haitian people, thank you, thank you, thank you.""","Valerie: ""I really feel in my heart people need to know what Mitt Romney did to Marion, Indiana in 1994.""http://OFA.BO/mTFZEsÂ ",The #IranDeal has overwhelming support among leading scientists and non-proliferation experts.pic.twitter.com/BxrK6jldNt,Happening now: The President delivers a statement on Iraq and the situation in #Ferguson. http://ofa.bo/s0hzÂ ,"""I will stand with Israel if they are attacked.""â€”President Obama","""We continue to be inspired by the Japanese people, who faced unimaginable loss with extraordinary fortitude.""http://OFA.BO/jnCiaRÂ ",Every American can be proud of the lives weâ€™ve saved in Libya and of the service of our men and women in uniform. http://OFA.BO/96DX9m,My administration will continue to use every single available resource at our disposal to address the oil spill in the Gulf of Mexico.,,,,"RT @whitehouse Welcome to @twitter President Medvedev! RT @KremlinRussia_E: Hello everyone! I'm on Twitter, and this is my first tweet.",,President Obama will address the nation this evening regarding the situation in Syria. Tune in at 9:00 p.m. ET. http://OFA.BO/BFhZF3Â ,LIVE: President Obama is delivering a statement on Ukraine. http://ofa.bo/dHKÂ ,"Thanks to American leadership, countries around the world are standing #UnitedOnClimate. http://ofa.bo/d5LVÂ ",
"President Obama: ""By the end of next year, our war in Afghanistan will be over.""",,,Add your name if you support the President's historic agreement with China on climate change: http://ofa.bo/q1YNÂ  #ActOnClimate,,,,The first waves of our rescue workers are on the ground and at work in #Haitiâ€”Watch today's update and learn how to help: http://bit.ly/6-x,Indiana voters: Tweet @SenDanCoats and @senatorlugar and ask them to compromise on a balanced deficit solution .,Leading scientists and non-proliferation experts are making their voices heard on the #IranDeal.pic.twitter.com/uMyNmBwrvf,Happening now: President Obama delivers a statement on the situation in Iraq. http://ofa.bo/q0XKÂ ,"RT @Obama2012: President Obama: ""There should not be a shred of doubt by now: when the chips are down, I have Israelâ€™s back."" #AIPAC","Couldn't be prouder of the women of #USWNT after a hard-fought game. Congratulations to Japan, Women's World Cup Champions.",Delivering a statement on Libya from the White House at 5:15pm ET. http://wh.gov/live,,,,,Our thoughts and prayers go out to the people of Russia after the terrible loss of life and injuries from the bombings on the Moscow Metro.,,,,"""America, this will changeâ€”but only when we stand up, together, and demand it."" â€”President Obama http://ofa.bo/e5IZÂ  #SandyHook",
President Obama on ending the war in Afghanistan and rebuilding America:http://OFA.BO/Urrm5TÂ ,,,This is huge: The United States and China have just agreed on an ambitious new joint plan to cut carbon pollution.http://ofa.bo/b1ZEÂ ,,,,"Today, our thoughts and prayers are with the people of Haiti. Learn about relief efforts and how you can help: http://bit.ly/o-X",Welcoming Prime Minister Singh of India for the first state visit of this administration. Watch: http://bit.ly/6frh-,"""It is surely the pursuit of peace that is most needed in this world so full of strife."" â€”President Obama #IranDeal","""We just went through the first month since 2003 where no U.S. soldier was killed in either Afghanistan or Iraq."" â€”President Obama",,Delivering a statement about Japan from the Rose Garden. Watch live at 3:30pm ET. http://wh.gov/live,,,,,,,,,,This is huge: Almost every country in the world just signed on to the #ParisAgreement on climate changeâ€”thanks to American leadership.,
"President Obama: ""By the end of next year, Americaâ€™s war in Afghanistan will be over.""http://OFA.BO/PfK8QgÂ ",,,"President Obama: I don't want the next big job-creating discovery to come from Germany, China or Japan. I want it to be made in America.",,,,,,"""As Americans, we should be proud of this achievement."" â€”President Obama #IranDeal","FACT: Last decade, 3,766 people were murdered with guns in Ohioâ€”more than the number of combat deaths in the Iraq war. #DemandAction",,The State Department is working to account for and assist any and all American citizens who are in Japan.,,,,,,,,,,"With American leadership, more than 180 nations have committed to tackling climate change. #UnitedOnClimatepic.twitter.com/iq1SyJhVsX",
FACT: President Obama has a plan to end the war in Afghanistan in 2014â€”Mitt Romney does not.,,,"President Obama and China's announcement is ""serious momentum for quick action to cut greenhouse gases"" http://OFA.BO/1LVCÂ  #ActOnClimate",,,,,,"""Now we have before us a solution that prevents Iran from obtaining a nuclear weapon without resorting to war."" â€”President Obama #IranDeal","""Michelle and I join our fellow Americans in paying tribute to all who served and sacrificed in one of our nationâ€™s longest wars."" #Iraq",,"Sending condolences to the people of Japan, particularly those who lost loved ones in the earthquake & tsunamis. U.S. stands ready to help.",,,,,,,,,,LIVE: President Obama is addressing the nation on the threat of terrorism and keeping the American people safe. http://ofa.bo/p9d0Â ,
"VP Biden on Afghanistan: ""We are leaving in 2014. Period.""",,,"On Romney: ""He's hoping you don't remember that his economic plan is more likely to create jobs in China than here in the United States.""",,,,,,"""President Kennedy warned Americans not to see conflict as inevitable. It is time to apply such wisdom.â€ â€”President Obama #IranDeal","President Obama: ""I said that I'd end the war in Iraq, and I ended it. I said I'd pass health care reform, and I passed it."" #Forward",,,,,,,,,,,,"""Here in America itâ€™s way too easy for dangerous people to get their hands on a gun."" â€”President Obamahttp://ofa.bo/t9ShÂ ",
"FACT: Unlike President Obama, Romney has no plan to end the war in Afghanistan and bring our troops home.",,,"The Romney-Ryan jobs plan could create 73,000 jobsâ€”in China: http://twitpic.com/b382frÂ  #RomneyWrong",,,,,,"""I have repeatedly challenged anyone opposed to this deal to put forward a better, plausible alternative."" â€”President Obama #IranDeal","â€œYou know I mean what I say and I say what I mean. I said Iâ€™d end the war in Iraq, and I did. I said Iâ€™d reform health care, and I did.â€",,,,,,,,,,,,Show your support for American leadership in the international effort to #ActOnClimate:http://ofa.bo/t9RvÂ ,
"â€œRomney had nothing to say about Afghanistan last week, let alone offer a plan for the 33,000 troops who will have come home this month.â€",,,Mitt Romney: Believe in China. http://OFA.BO/AWGxU3Â  #SketchyDeal,,,,,,"""When we carefully examine the arguments against this deal, none of them stand up to scrutiny.â€ â€”President Obama #IranDeal","""Because of the sacrifice of our brave men and women in uniform, the war in Iraq is over. The war in Afghanistan is coming to a close.""",,,,,,,,,,,,The Clean Power Plan is one of the biggest step America's ever taken to tackle climate change.pic.twitter.com/UOvVIhJ7pp,
"President Obama: ""By 2014, the war in Afghanistan will be over.""",,,"President Obama on Romney's claim he'll be tough on China: ""It feels like a fox saying we need more secure chicken coops.""",,,,,,"""Worry less about being labeled weak. Worry more about getting it right.â€ â€”President Obama #IranDeal",Obama: â€œItâ€™s time to use the savings from ending the wars in Iraq and Afghanistan to start paying down our debt and rebuilding America.â€,,,,,,,,,,,,"""Even as our economy is growing, America's cut our carbon pollution more than any other advanced nation on Earth."" â€”President Obama",
